Date,5-day avg cases (grey bars),Marker: Reff = 1,Reff (yellow line)
2021-09-08,206,1,1.57
2021-09-09,226,1,1.57
2021-09-10,245,1,1.46
2021-09-11,281,1,1.46
2021-09-12,310,1,1.51
2021-09-13,342,1,1.51
2021-09-14,370,1,1.51
2021-09-15,395,1,1.41
2021-09-16,421,1,1.36
2021-09-17,446,1,1.3
2021-09-18,456,1,1.23
2021-09-19,472,1,1.2
2021-09-20,486,1,1.15
2021-09-21,506,1,1.14
2021-09-22,538,1,1.18
2021-09-23,575,1,1.22
2021-09-24,604,1,1.24
2021-09-25,652,1,1.29
2021-09-26,690,1,1.28
2021-09-27,710,1,1.24
2021-09-28,767,1,1.27
2021-09-29,814,1,1.25
2021-09-30,909,1,1.32
2021-10-01,969,1,1.37
2021-10-02,"1,059",1,1.38
2021-10-03,"1,122",1,1.38
2021-10-04,"1,220",1,1.34
2021-10-05,"1,328",1,1.37
2021-10-06,"1,393",1,1.32
2021-10-07,"1,420",1,1.27
2021-10-08,"1,513",1,1.24
2021-10-09,"1,580",1,1.19
2021-10-10,"1,672",1,1.2
2021-10-11,"1,702",1,1.2
2021-10-12,"1,656",1,1.1
2021-10-13,"1,677",1,1.06
2021-10-14,"1,770",1,1.06
2021-10-15,"1,820",1,1.07
2021-10-16,"1,820",1,1.1
2021-10-17,"1,809",1,1.08
2021-10-18,"1,852",1,1.05
2021-10-19,"1,891",1,1.04
2021-10-20,"1,923",1,1.06
2021-10-21,"1,903",1,1.05
2021-10-22,"1,898",1,1.03
2021-10-23,"1,862",1,0.98
2021-10-24,"1,874",1,0.97
2021-10-25,"1,807",1,0.95
2021-10-26,"1,771",1,0.93
2021-10-27,"1,730",1,0.93
2021-10-28,"1,693",1,0.9
2021-10-29,"1,622",1,0.9
2021-10-30,"1,566",1,0.88
2021-10-31,"1,444",1,0.84
2021-11-01,"1,447",1,0.85
2021-11-02,"1,377",1,0.85
2021-11-03,"1,298",1,0.83
2021-11-04,"1,205",1,0.83
2021-11-05,"1,162",1,0.8
2021-11-06,"1,154",1,0.84
2021-11-07,"1,172",1,0.9
2021-11-08,"1,127",1,0.93
2021-11-09,"1,138",1,0.98
2021-11-10,"1,146",1,0.99
2021-11-11,"1,157",1,0.99
2021-11-12,"1,129",1,1
2021-11-13,"1,124",1,0.99
2021-11-14,"1,088",1,0.95
2021-11-15,"1,052",1,0.91
2021-11-16,"1,016",1,0.9
2021-11-17,"1,017",1,0.9
2021-11-18,974,1,0.89
2021-11-19,997,1,0.95
2021-11-20,991,1,0.98
2021-11-21,"1,043",1,1.03
2021-11-22,"1,066",1,1.09
2021-11-23,"1,070",1,1.07
2021-11-24,"1,098",1,1.11
2021-11-25,"1,134",1,1.09
2021-11-26,"1,144",1,1.07
2021-11-27,"1,154",1,1.08
2021-11-28,"1,126",1,1.03
2021-11-29,"1,123",1,0.99
2021-11-30,"1,134",1,0.99
2021-12-01,"1,131",1,0.98
2021-12-02,"1,153",1,1.02
2021-12-03,"1,130",1,1.01
2021-12-04,"1,147",1,1.01
2021-12-05,"1,135",1,1
2021-12-06,"1,144",1,0.99
2021-12-07,"1,184",1,1.05
2021-12-08,"1,203",1,1.05
2021-12-09,"1,176",1,1.04
2021-12-10,"1,178",1,1.03
2021-12-11,"1,151",1,0.97
2021-12-12,"1,163",1,0.97
2021-12-13,"1,194",1,1.01
2021-12-14,"1,194",1,1.01
2021-12-15,"1,206",1,1.05
2021-12-16,"1,258",1,1.08
2021-12-17,"1,300",1,1.09
2021-12-18,"1,344",1,1.13
2021-12-19,"1,370",1,1.14
2021-12-20,"1,370",1,1.09
2021-12-21,"1,376",1,1.06
2021-12-22,"1,392",1,1.04
